tahun	kdprov	urprov	kdpemda	urpemda	kdakun	urakun	kdkelompok	urkelompok	kdjenis	urjenis	kdobjek	urobjek	nilai
2023	24	Provinsi Nusa Tenggara Timur	11	Kab. Sumba Timur	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	138950764000
2023	26	Provinsi Papua	19	Kab. Waropen	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	84938124000
2023	27	Provinsi Maluku Utara	05	Kab. Halmahera Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	206565958411
2023	31	Provinsi Kepulauan Riau	02	Kab. Kepulauan Anambas	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	39126062000
2023	38	Provinsi Papua Barat Daya	05	Kab. Maybrat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	188115468000
2023	38	Provinsi Papua Barat Daya	06	Kab. Tambrauw	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	166719639000
2024	02	Provinsi Sumatera Utara                           	31	Kab. Nias Utara	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	58001846000
2024	05	Provinsi Jambi                                    	04	Kab. Merangin	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	99608512600
2024	06	Provinsi Sumatera Selatan                         	06	Kab. Ogan Komering Ulu	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	62472837600
2024	08	Provinsi  Lampung                                 	12	Kab. Pringsewu	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	59351605000
2024	10	Provinsi Jawa Barat                               	01	Kab. Bandung	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	193374742600
2024	10	Provinsi Jawa Barat                               	05	Kab. Cianjur	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	239077822400
2024	11	Provinsi Jawa Tengah                              	06	Kab. Brebes	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	168228321400
